reading,timestamp,temperature_C,humidity_pct,pressure_hPa
1,2026-05-31 13:32:51,16.90,57.68,943.13
2,2026-05-31 13:33:21,16.85,57.32,943.13
3,2026-05-31 13:33:51,16.87,57.32,943.11
4,2026-05-31 13:34:21,16.84,57.35,943.10
1,2026-05-31 13:35:20,16.87,57.52,943.06
2,2026-05-31 13:35:50,16.86,57.61,943.11
3,2026-05-31 13:36:20,16.92,58.34,943.07
4,2026-05-31 13:36:50,16.93,57.55,943.13
1,2026-05-31 13:38:04,16.89,57.35,943.08
2,2026-05-31 13:38:34,16.90,57.31,943.11
3,2026-05-31 13:39:04,16.91,57.26,943.12
4,2026-05-31 13:39:34,16.92,57.28,943.12
1,2026-05-31 16:15:17,19.91,52.52,944.18
1,2026-05-31 16:16:17,19.93,51.94,944.20
2,2026-05-31 16:16:47,19.90,51.94,944.24
3,2026-05-31 16:17:17,19.89,51.92,944.22
4,2026-05-31 16:17:47,19.86,52.08,944.23
5,2026-05-31 16:18:17,19.88,52.04,944.25